transaction_id,company_id,company_name,company_size_tier,baseline_monthly_spend,vendor_id,vendor_name,vendor_category,vendor_risk_tier,amount_usd,currency,payment_method,department,timestamp,is_anomaly
9f5e107b-8971-46ae-b599-6aab16000014,company_0031,Green PLC,smb,22785.86,vendor_0010,"Schultz, White and Dennis",logistics_shipping,medium,208.22,USD,ach_transfer,legal,2026-04-07T13:09:00+00:00,False
c7cce014-f66c-4bb5-baf9-d16f10fceca8,company_0039,"Heath, Lee and Ortiz",enterprise,1299488.96,vendor_0063,Ingram-Howard,professional_services,medium,11639.98,USD,ach_transfer,operations,2026-06-19T16:53:00+00:00,False
c5341fed-def4-48b8-8b11-624daf8c7a3f,company_0014,Ramirez Inc,mid_market,169565.55,vendor_0078,"Campbell, Williams and Cross",office_supplies,medium,2933.97,USD,ach_transfer,engineering,2026-04-17T10:42:00+00:00,False
d96497aa-7136-4963-9156-9b56f09e4b7e,company_0020,"Nelson, Webster and Cunningham",smb,43071.73,vendor_0075,"Sanchez, Parsons and Buck",logistics_shipping,high,483.19,USD,wire_transfer,sales,2026-06-09T17:24:00+00:00,False
bbb733d1-1506-4d15-aa3e-6ec52e82f66f,company_0020,"Nelson, Webster and Cunningham",smb,43071.73,vendor_0011,"Strong, Hernandez and Garcia",professional_services,medium,824.29,USD,direct_debit,sales,2026-06-20T20:43:00+00:00,False
51e9dca9-edd9-4ead-90dd-52f9b30a9467,company_0015,"Vargas, Davis and Stanley",enterprise,2644261.36,vendor_0031,Vasquez-Ray,telecom_internet,low,31056.94,USD,corporate_card,legal,2026-04-22T14:32:00+00:00,False
3226fc2a-9c00-46db-b4f0-f76a5073f20e,company_0029,Salinas LLC,enterprise,3713828.26,vendor_0018,Coffey LLC,telecom_internet,low,24384.53,USD,corporate_card,marketing,2026-04-20T10:45:00+00:00,False
793b65e8-ae7f-461b-ac1c-91b2e1000d59,company_0001,Rangel Inc,mid_market,143699.29,vendor_0055,Griffin-Greene,telecom_internet,low,2418.98,USD,corporate_card,engineering,2026-04-28T16:12:00+00:00,False
fd2fa8f7-baa7-42e7-b8f3-94110f798d74,company_0013,"Jones, Turner and Garrison",mid_market,312830.36,vendor_0100,Reed PLC,logistics_shipping,low,1598.58,USD,corporate_card,marketing,2026-04-15T11:54:00+00:00,False
c9f6076f-eea4-4d74-9bc0-6883e2546ee1,company_0005,Rice-Peterson,mid_market,323785.59,vendor_0103,Webb-Camacho,telecom_internet,low,4361.36,USD,corporate_card,sales,2026-05-28T14:13:00+00:00,False
bebaae44-ac7d-4c03-8269-a0b7acfae7ce,company_0004,"Weaver, Miller and Perez",enterprise,1534980.72,vendor_0038,Palmer PLC,office_supplies,medium,19171.44,USD,ach_transfer,hr,2026-06-13T00:31:00+00:00,False
da5e00e7-37c6-48a4-be03-5e5181410502,company_0001,Rangel Inc,mid_market,143699.29,vendor_0011,"Strong, Hernandez and Garcia",professional_services,medium,934.09,USD,wire_transfer,it,2026-06-29T16:32:00+00:00,False
ef48af91-858d-41c7-914c-1951d8ee2657,company_0005,Rice-Peterson,mid_market,323785.59,vendor_0073,"Combs, Wagner and Dalton",logistics_shipping,medium,1908.74,USD,wire_transfer,sales,2026-04-16T10:46:00+00:00,False
3eb4f84f-378c-4541-ab59-26ccab456e7e,company_0001,Rangel Inc,mid_market,143699.29,vendor_0073,"Combs, Wagner and Dalton",logistics_shipping,medium,1279.39,USD,direct_debit,it,2026-04-20T00:48:00+00:00,False
3da2c2c3-60c3-43ef-820a-14f672251f26,company_0022,Fox-Thomas,smb,8036.48,vendor_0015,Valencia-Ibarra,hardware_equipment,low,55.66,USD,ach_transfer,finance,2026-04-06T14:51:00+00:00,False
ff4b6222-f5b1-4b13-94ae-5ce1f5348e5f,company_0017,Hernandez LLC,mid_market,87348.99,vendor_0015,Valencia-Ibarra,hardware_equipment,low,737.91,USD,direct_debit,operations,2026-06-25T11:24:00+00:00,False
e8913479-dede-4fd1-ad15-54fde6c2db9b,company_0025,Rodriguez Ltd,smb,44112.76,vendor_0033,Wright-Garcia,logistics_shipping,low,390.2,USD,ach_transfer,it,2026-07-01T16:22:00+00:00,False
c279e56c-61f1-4dbc-92fa-cda2b8fdcf42,company_0033,Hughes-Scott,enterprise,2651604.82,vendor_0097,Martin LLC,professional_services,low,41304.88,USD,ach_transfer,operations,2026-06-21T07:22:00+00:00,False
875614d6-b1f2-4dff-affd-1ba6e86eea44,company_0036,Haley-Martinez,enterprise,1862413.98,vendor_0012,"Benton, Peterson and Kelley",travel,medium,21509.18,USD,corporate_card,legal,2026-06-02T10:45:00+00:00,False
7aa615f7-2737-4a2f-8149-cf452401516a,company_0025,Rodriguez Ltd,smb,44112.76,vendor_0091,Townsend PLC,saas_software,low,208.48,USD,direct_debit,marketing,2026-05-08T07:28:00+00:00,False
99897b1a-2e0f-4cc7-9ad0-ed35f13fabf7,company_0034,Scott Inc,mid_market,214672.68,vendor_0026,Weaver-Kelly,facilities_utilities,low,1093.49,USD,corporate_card,operations,2026-06-04T00:57:00+00:00,False
62c1f831-57cc-46d1-bd3f-fc0a826c220a,company_0039,"Heath, Lee and Ortiz",enterprise,1299488.96,vendor_0093,Oliver-Garcia,professional_services,high,10397.15,USD,wire_transfer,marketing,2026-05-16T23:17:00+00:00,False
196ff477-01e3-44ef-a095-b2fff83bf363,company_0004,"Weaver, Miller and Perez",enterprise,1534980.72,vendor_0008,Foster PLC,facilities_utilities,high,18043.93,USD,direct_debit,engineering,2026-04-22T10:55:00+00:00,False
912e34d5-9330-40ba-b18d-6fb38a3323d0,company_0005,Rice-Peterson,mid_market,323785.59,vendor_0112,Pitts-Torres,professional_services,medium,4595.38,USD,direct_debit,legal,2026-04-29T13:18:00+00:00,False
ac4f9c21-ec4d-4781-aed1-9be7a544f9de,company_0033,Hughes-Scott,enterprise,2651604.82,vendor_0022,Kelley Group,saas_software,high,34137.19,USD,wire_transfer,it,2026-06-12T11:23:00+00:00,False
5493825b-b57c-4612-8377-fe6060ef8e88,company_0035,"Schultz, Hansen and Garcia",smb,40324.45,vendor_0045,Harrison-Rodriguez,office_supplies,medium,262.52,USD,direct_debit,operations,2026-07-01T14:12:00+00:00,False
c96a66db-32e3-46f2-8df8-6fddaed64511,company_0038,Clements-Martinez,smb,10403.11,vendor_0117,Joseph-Mcintosh,advertising_marketing,low,151.73,USD,corporate_card,legal,2026-04-09T15:54:00+00:00,False
581dd4d2-98f1-416e-9ade-67abb8d37c65,company_0012,"Carter, White and Trujillo",mid_market,498818.73,vendor_0028,Wong-Price,facilities_utilities,low,6971.55,USD,corporate_card,it,2026-04-09T14:59:00+00:00,False
5b50bfd7-b04f-45dc-9829-5d87960b1419,company_0025,Rodriguez Ltd,smb,44112.76,vendor_0104,Brown-Donaldson,logistics_shipping,low,450.13,USD,direct_debit,finance,2026-04-30T11:15:00+00:00,False
9a58ced5-daa9-4ee6-868a-278c6b225c35,company_0025,Rodriguez Ltd,smb,44112.76,vendor_0071,"Shaw, Moore and Anderson",office_supplies,low,497.49,USD,direct_debit,marketing,2026-06-04T16:33:00+00:00,False
86655363-9332-4dbf-b27d-e4d23d6c2573,company_0010,Brown-Horn,mid_market,193118.52,vendor_0042,"Benton, Villarreal and Howard",logistics_shipping,medium,993.94,USD,ach_transfer,sales,2026-04-17T10:38:00+00:00,False
28437117-fd06-40dd-a8d1-65544fc49b0b,company_0026,"Arnold, Collins and Sandoval",enterprise,3234658.92,vendor_0029,Madden-Lewis,hardware_equipment,low,40885.58,USD,ach_transfer,operations,2026-07-03T12:20:00+00:00,False
644ea454-8a96-4370-9778-ce4ed8a3f091,company_0031,Green PLC,smb,22785.86,vendor_0060,Reed-Harris,telecom_internet,low,210.06,USD,wire_transfer,it,2026-04-27T14:35:00+00:00,False
20b9ad81-c95e-4b5c-834d-0ac15496fb2e,company_0010,Brown-Horn,mid_market,193118.52,vendor_0027,Jones Ltd,professional_services,low,1725.4,USD,wire_transfer,engineering,2026-04-10T10:21:00+00:00,False
223ca957-a131-4f9c-a97c-9b255042b355,company_0010,Brown-Horn,mid_market,193118.52,vendor_0078,"Campbell, Williams and Cross",office_supplies,medium,1442.26,USD,direct_debit,hr,2026-06-23T08:18:00+00:00,False
89540782-1edf-491d-a634-fdffd0bc5b75,company_0015,"Vargas, Davis and Stanley",enterprise,2644261.36,vendor_0037,Lam PLC,hardware_equipment,low,29367.0,USD,direct_debit,it,2026-06-28T07:18:00+00:00,False
c2b7ffcd-8320-4995-97e3-75b3d8f5ce58,company_0012,"Carter, White and Trujillo",mid_market,498818.73,vendor_0066,Miranda-Blair,advertising_marketing,low,4059.97,USD,wire_transfer,it,2026-05-14T07:07:00+00:00,False
f9897103-3dc7-404b-a6e3-8e85a5fa0f09,company_0025,Rodriguez Ltd,smb,44112.76,vendor_0089,Zavala-Gutierrez,office_supplies,medium,918.57,USD,ach_transfer,operations,2026-06-29T13:20:00+00:00,False
e084dbab-58fe-4ff2-bf6a-221dd32db774,company_0031,Green PLC,smb,22785.86,vendor_0022,Kelley Group,saas_software,high,223.11,USD,direct_debit,legal,2026-04-23T13:00:00+00:00,False
fe737f2e-99b1-4e66-829d-da8e0998b368,company_0027,Booth-Sheppard,mid_market,180480.79,vendor_0002,Cole PLC,facilities_utilities,medium,316.31,USD,direct_debit,it,2026-04-23T16:55:00+00:00,False
6c88221e-00ac-4ade-95ef-cfed15911b2a,company_0034,Scott Inc,mid_market,214672.68,vendor_0036,"Rubio, Young and Barnes",office_supplies,low,1762.08,USD,wire_transfer,finance,2026-05-15T11:17:00+00:00,False
a9abd7d4-4aa1-4435-8bab-fdd329dbf365,company_0018,Jackson-Murphy,smb,37782.45,vendor_0074,Livingston Group,facilities_utilities,medium,360.44,USD,ach_transfer,it,2026-07-02T15:50:00+00:00,False
625833c8-ec87-4833-9455-5b0bdbe5b417,company_0007,Williams Inc,mid_market,437078.7,vendor_0099,Perez Ltd,logistics_shipping,low,3782.42,USD,corporate_card,legal,2026-04-15T12:10:00+00:00,False
4a3ebc94-ea2d-4235-b404-dffde0c1d7eb,company_0024,Johnson and Sons,enterprise,2185595.3,vendor_0110,Brown-Jones,travel,low,21812.21,USD,corporate_card,legal,2026-05-29T09:55:00+00:00,False
dd306a43-2fd8-496f-b3f7-3258bb8a0d01,company_0039,"Heath, Lee and Ortiz",enterprise,1299488.96,vendor_0101,"Miller, Gutierrez and Green",office_supplies,low,9339.07,USD,ach_transfer,hr,2026-06-21T07:23:00+00:00,False
