"WorkstationGroupID","WorkstationID","TranID","BeginDateTime","OperatorID","Items"
8,16,1712071060162,"2017-12-07T06:04:01",266,"OperatorSignOn"
8,15,1712071060152,"2017-12-07T06:04:15",265,"OperatorSignOn"
8,14,1712071060142,"2017-12-07T06:05:36",264,"OperatorSignOn"
8,18,1712071060182,"2017-12-07T06:05:41",268,"OperatorSignOn"
8,17,1712071060172,"2017-12-07T06:05:56",267,"OperatorSignOn"
1,12,1712071060122,"2017-12-07T07:02:30",146,"OperatorSignOn"
1,12,1712071060125,"2017-12-07T07:04:20",146,"OperatorSignOff"
1,13,1712071060132,"2017-12-07T07:04:42",120,"OperatorSignOn"
1,22,1712071060222,"2017-12-07T07:14:01",127,"OperatorSignOn"
1,12,1712071060127,"2017-12-07T07:15:57",146,"OperatorSignOn"
1,20,1712071060202,"2017-12-07T07:15:55",110,"OperatorSignOn"
1,7,171207106072,"2017-12-07T07:42:47",143,"OperatorSignOn"
1,12,17120710601274,"2017-12-07T08:07:08",146,"OperatorLock"
1,12,17120710601275,"2017-12-07T08:07:46",146,"OperatorUnLock"
1,7,1712071060744,"2017-12-07T08:20:45",143,"OperatorSignOff"
1,4,171207106042,"2017-12-07T08:19:58",123,"OperatorSignOn"
1,7,1712071060746,"2017-12-07T08:40:44",143,"OperatorSignOn"
1,7,1712071060751,"2017-12-07T08:44:30",143,"OperatorLock"
1,7,1712071060752,"2017-12-07T08:44:57",143,"OperatorUnLock"
1,21,1712071060212,"2017-12-07T08:45:12",316,"OperatorSignOn"
1,7,1712071060783,"2017-12-07T09:17:36",143,"OperatorLock"
1,7,1712071060784,"2017-12-07T09:18:24",143,"OperatorUnLock"
1,4,1712071060471,"2017-12-07T09:29:39",123,"OperatorLock"
1,4,1712071060472,"2017-12-07T09:31:40",123,"OperatorUnLock"
1,20,171207106020154,"2017-12-07T09:40:00",110,"OperatorLock"
1,7,17120710607111,"2017-12-07T09:40:42",143,"OperatorLock"
1,20,171207106020155,"2017-12-07T09:40:51",110,"OperatorUnLock"
1,7,17120710607112,"2017-12-07T09:41:55",143,"OperatorUnLock"
1,7,17120710607133,"2017-12-07T09:57:17",143,"OperatorLock"
1,7,17120710607134,"2017-12-07T09:58:02",143,"OperatorUnLock"
